id,student_id,topic_id,event_type,duration,timestamp
1,1,1,search_topic,291,2026-01-03 04:31:00
2,1,2,complete_lesson,446,2026-01-05 01:15:00
3,1,2,view_resource,144,2026-01-06 11:19:00
4,1,2,view_resource,600,2026-01-07 18:48:00
5,1,3,complete_lesson,93,2026-01-08 00:39:00
6,1,4,search_topic,467,2026-01-08 17:46:00
7,1,5,complete_lesson,203,2026-01-09 21:00:00
8,1,6,view_resource,507,2026-01-11 09:36:00
9,1,7,complete_lesson,90,2026-01-13 04:10:00
10,1,8,view_resource,449,2026-01-14 06:45:00
11,1,9,view_resource,449,2026-01-15 01:05:00
12,1,10,view_resource,375,2026-01-16 05:22:00
13,1,11,search_topic,584,2026-01-16 17:24:00
14,2,1,complete_lesson,72,2026-01-06 17:32:00
15,2,2,search_topic,593,2026-01-08 08:40:00
16,2,2,complete_lesson,334,2026-01-10 07:19:00
17,2,2,complete_lesson,366,2026-01-10 20:20:00
18,2,3,search_topic,260,2026-01-11 15:21:00
19,2,4,complete_lesson,510,2026-01-12 20:29:00
20,2,5,search_topic,265,2026-01-14 14:20:00
21,2,5,complete_lesson,358,2026-01-15 14:03:00
22,2,5,view_resource,393,2026-01-17 14:26:00
23,2,6,view_resource,87,2026-01-19 06:04:00
24,2,7,complete_lesson,571,2026-01-20 04:42:00
25,2,7,view_resource,493,2026-01-22 00:00:00
26,2,8,search_topic,488,2026-01-23 18:16:00
27,2,9,view_resource,423,2026-01-25 12:40:00
28,2,9,search_topic,469,2026-01-27 09:02:00
29,2,9,view_resource,160,2026-01-28 10:34:00
30,2,10,complete_lesson,572,2026-01-30 02:41:00
31,2,10,complete_lesson,485,2026-01-31 04:45:00
32,2,10,complete_lesson,379,2026-01-31 15:29:00
33,2,11,search_topic,523,2026-02-02 01:30:00
34,2,12,search_topic,228,2026-02-02 06:03:00
35,2,13,complete_lesson,248,2026-02-03 21:39:00
36,2,13,search_topic,262,2026-02-05 17:22:00
37,2,14,view_resource,164,2026-02-06 10:16:00
38,2,14,view_resource,328,2026-02-07 01:08:00
39,2,14,search_topic,457,2026-02-08 12:11:00
40,2,15,search_topic,364,2026-02-09 14:11:00
41,3,1,complete_lesson,204,2026-01-08 10:18:00
42,3,2,search_topic,237,2026-01-09 14:15:00
43,3,2,complete_lesson,521,2026-01-10 04:11:00
44,3,2,complete_lesson,199,2026-01-10 11:38:00
45,3,3,complete_lesson,514,2026-01-12 08:19:00
46,3,3,view_resource,359,2026-01-12 22:48:00
47,3,3,complete_lesson,567,2026-01-13 19:15:00
48,3,4,view_resource,511,2026-01-15 09:16:00
49,3,4,search_topic,313,2026-01-16 02:31:00
